group,group_median,atlas,p_value,significance,y
Granivore,0.0114027537172448,Czechia,0.7738,"",0.234318653857464
Vertivore,0.0114027537172448,Czechia,0.938,"",0.246782580254416
Invertivore,0.0114027537172448,Czechia,0.231,"",0.258475302801592
Aquatic predator,0.0114027537172448,Czechia,0.0088,**,0.318450988909398
Omnivore,0.0114027537172448,Czechia,0.025,*,0.355973339840425
Herbivore aquatic,0.0114027537172448,Czechia,0.3284,"",0.13029912329666
Herbivore terrestrial,0.0114027537172448,Czechia,0.6366,"",0.169035492195101
Granivore,0.00612441102042419,Europe,0.1309,"",0.116263086094311
Vertivore,0.00612441102042419,Europe,0.9118,"",0.216109046268291
Omnivore,0.00612441102042419,Europe,0.1653,"",0.208781069256232
Invertivore,0.00612441102042419,Europe,0.3904,"",0.255345251007012
Aquatic predator,0.00612441102042419,Europe,2e-04,***,0.218855086418098
Scavenger,0.00612441102042419,Europe,0.5801,"",0.0415825137502935
Herbivore aquatic,0.00612441102042419,Europe,0.5388,"",0.166119565009134
Herbivore terrestrial,0.00612441102042419,Europe,0.1172,"",0.163241550742141
Granivore,0.00259421009450257,New Zealand,0.4423,"",0.619758180332252
Invertivore,0.00259421009450257,New Zealand,0.5533,"",0.348045323680052
Omnivore,0.00259421009450257,New Zealand,0.5331,"",0.575633097019186
Aquatic predator,0.00259421009450257,New Zealand,0.4934,"",0.590753483646522
Herbivore aquatic,0.00259421009450257,New Zealand,0.7438,"",0.063927123103484
Vertivore,0.00623616538554045,New York,0.3041,"",0.165033036638262
Aquatic predator,0.00623616538554045,New York,0.0599,"",0.261639547368328
Granivore,0.00623616538554045,New York,0.5747,"",0.124081108723742
Omnivore,0.00623616538554045,New York,0.631,"",0.140360891072269
Invertivore,0.00623616538554045,New York,0.0314,*,0.405906682556734
Herbivore aquatic,0.00623616538554045,New York,0.0613,"",0.331247508322794
